0 -0.79 -1.21 -0.63 -0.73 -1.09 -0.82 -0.35
0.02 1.06 0.5 0.4 0.99 0.71 0.92 1.63
-0.59 -0.42 -0.98 -1.57 -1.04 -0.38 1.02 0.27
-1.01 -0.61 -0.26 -0.94 -0.78 -1.47 -1.3 -1.49
0.51 0.71 -1.44 -1.52 -1.29 -2 -2.37 -1.53
-0.41 -1.27 -1.49 -1.97 -1.37 -1.19 -1.23 -0.7
1.22 0.96 3.57 2.32 2.14 3.28 3.11 2.97
-0.1 -0.39 -0.63 -1.09 -0.63 -0.98 -0.84 -1.12
-0.96 -0.78 -1.1 -1.58 -1.81 -1.49 -1.07 0.92
0.64 1.7 0.35 0.83 1.07 2.07 2.4 2.66
0.38 0.83 2.76 1.72 1.66 1.74 1.97 1.76
0.76 0.02 0.88 0.2 0.41 -0.16 0.14 0.38
-0.25 -0.12 0 -0.7 -0.22 -0.06 -0.61 -0.86
-1.63 -1.39 -1.25 -1.7 -1.06 -0.25 0.38 0.8
-0.01 1.75 1.29 0.75 1.37 1.85 2.32 2.05
-0.83 0.02 -0.4 -0.69 -0.05 -0.46 -1.07 -1.09
0.04 -0.57 -0.62 -0.61 -0.97 -1.5 -1.21 -1.7
2.22 3.99 3.08 2.61 3.67 3.77 4.28 4.11
-0.89 -0.94 -0.48 -0.71 -0.04 0.95 1.13 1.76
0.03 -1.07 -0.59 -0.87 -0.57 -1.09 -0.88 -0.71
-0.78 -0.29 0.1 -0.71 -0.45 0.55 1.63 1.83
-0.6 -1.01 -0.72 -0.74 -0.5 -1.03 -0.08 0.31
-0.2 0.6 -0.37 -0.79 -0.37 -0.93 -1.45 0.31
1.23 0.56 -1.2 -1.5 -1.3 -2.96 -2.37 -2.65
-2.31 -1.9 -0.51 -1.03 -0.35 0.39 0.96 1.26
-0.85 -1.74 -2.59 -1.85 -1.67 -2.06 -1.97 -0.81
-1.39 0.06 -1.11 -1.13 -0.88 -1.11 -0.86 -0.58
0.59 -0.57 -0.62 -0.79 -0.73 -1.04 -0.98 -0.48
0.41 0.11 0.13 -0.35 -0.24 -0.51 -0.36 -1.02
0.8 1.24 0.59 0.36 0.77 0.06 -0.1 -0.62
-0.34 0.23 -0.78 -0.94 -0.51 -0.92 -1.06 -0.19
0.87 1.02 1.67 1.64 1.44 1.81 2.46 2.23
0.42 -0.86 -0.92 -1.95 -1.25 -1.17 -1.02 -1.1
1.09 1.24 0.98 1.09 1.63 1.5 1.86 2.25
-0.06 0.38 1.06 0.31 2.82 2.63 2.66 2.13
0.49 0.24 2.17 2.57 3.96 2.76 3.01 2.47
-0.46 -0.49 -0.09 -0.15 0.28 -0.62 -0.45 -0.17
-0.84 -0.02 -0.29 -0.37 -0.24 -0.02 -0.17 -0.07
0.2 0.6 0.55 -0.56 1.23 1.29 1.76 1.98
0.62 0.18 0.58 0.58 0.52 1.97 2.07 2.43
-0.96 -0.77 -1.22 -1.37 -1.6 -1.73 -1.34 -2.14
2.48 1.98 2.22 2.12 2.02 1.6 2.14 0.87
-0.21 0.84 -0.08 0.44 0.34 0.42 0.49 0.63
-0.59 0.01 1 0.22 0.83 0.86 0.4 1.78
0.81 -0.33 0 -0.92 -0.78 -1.14 -0.57 -0.52
0.65 0.76 1.37 1.66 1.68 2.41 2.82 2.94
0.61 0.31 -0.11 -0.7 -0.27 -0.13 -0.25 -0.6
-0.78 0.67 0.5 0.51 1.27 1.77 2.39 2.39
-0.09 -0.26 0.93 0.97 0.85 1.9 2.29 2.23
-0.08 0.68 0.69 0.22 0.61 0.16 0.13 0.59
0.47 0.23 0.35 1.27 1.31 1.62 2.44 2.62
-0.06 0.42 0.04 -0.89 -0.82 -0.97 -1.14 -0.42
-0.04 0.48 -0.48 -1.11 -0.01 -0.58 -0.05 0.91
